Epoch,Train Loss,Train Error,Test Loss,Test Error
1,2.2355202,0.85344,2.09820001,0.8039
2,2.16267119,0.81692,2.02096349,0.7717
3,2.12186333,0.79448,1.94845892,0.7426
4,2.08349683,0.77544,1.89697173,0.7072
5,2.0578404,0.7601,1.84729951,0.6915
6,2.0389115,0.7478,1.81844351,0.6661
7,2.01892523,0.7345,1.79344721,0.6577
8,2.00681012,0.72536,1.76338789,0.6436
9,1.99361665,0.71742,1.755377,0.635
10,1.98337531,0.70724,1.72489618,0.6275
11,1.97312056,0.70106,1.7180225,0.6249
12,1.96736778,0.6996,1.70247071,0.6164
13,1.96182595,0.69398,1.69745302,0.6069
14,1.95584205,0.69166,1.68412591,0.6073
15,1.94881429,0.68722,1.66528234,0.602
16,1.94397818,0.68336,1.66362426,0.595
17,1.9370567,0.6796,1.66144713,0.594
18,1.93512007,0.67994,1.64623794,0.5935
19,1.92805735,0.67494,1.64631854,0.5898
20,1.92210069,0.67242,1.63694419,0.5847
21,1.91562193,0.66926,1.62830729,0.5795
22,1.91088,0.66396,1.61555439,0.578
23,1.90771227,0.6648,1.61645029,0.5738
24,1.90849975,0.66306,1.60378942,0.5701
25,1.89854732,0.65858,1.60317502,0.5671
26,1.89496213,0.65528,1.59832498,0.5711
27,1.89086173,0.65138,1.59034243,0.566
28,1.8884707,0.65104,1.57810018,0.5583
29,1.8799803,0.64876,1.58036441,0.5621
30,1.88033843,0.64664,1.56726084,0.5481
31,1.87318312,0.64248,1.55948228,0.5523
32,1.87323287,0.64482,1.55317046,0.5469
33,1.86763995,0.6394,1.54313978,0.5412
34,1.86116309,0.63644,1.54438179,0.5423
35,1.86053712,0.63636,1.5370598,0.5415
36,1.85524536,0.63372,1.54234339,0.5449
37,1.85469274,0.63282,1.53452772,0.537
38,1.84977828,0.631,1.52314732,0.5363
39,1.84805874,0.62816,1.51196196,0.531
40,1.84248074,0.62652,1.51172667,0.5317
41,1.83912375,0.62374,1.50882857,0.5276
42,1.83642004,0.62144,1.50122246,0.5254
43,1.83159537,0.61926,1.49687189,0.5259
44,1.83064418,0.61898,1.49740899,0.5227
45,1.82846733,0.61944,1.48886536,0.5204
46,1.82388637,0.61618,1.48445365,0.5191
47,1.8209651,0.61392,1.47710483,0.5132
48,1.82241176,0.61508,1.47976786,0.5174
49,1.81587916,0.61018,1.46907958,0.5124
50,1.81523564,0.6114,1.47090292,0.5108
51,1.81062334,0.60854,1.4638143,0.5119
52,1.80689277,0.6083,1.46279513,0.5114
53,1.806387,0.60686,1.45733982,0.5045
54,1.80605091,0.6046,1.45334888,0.5056
55,1.79820912,0.60138,1.44976176,0.5052
56,1.79905901,0.60324,1.44369384,0.4985
57,1.79884348,0.60394,1.44059551,0.5007
58,1.79310617,0.60002,1.43987225,0.4971
59,1.7926373,0.59934,1.43305705,0.4939
60,1.79164533,0.59762,1.43181187,0.4938
61,1.79018244,0.59986,1.42946897,0.4905
62,1.7839175,0.59286,1.42403071,0.4938
63,1.78264356,0.59434,1.42078173,0.4939
64,1.78317937,0.59142,1.41905814,0.4877
65,1.78052972,0.59238,1.42240705,0.4853
66,1.77823774,0.59254,1.40974326,0.4855
67,1.77303438,0.58924,1.40804604,0.4832
68,1.77212807,0.5876,1.40764769,0.4842
69,1.77019909,0.58852,1.406158,0.4833
70,1.76943413,0.58852,1.40592675,0.4854
71,1.76570581,0.58772,1.39627761,0.4797
72,1.76617039,0.58718,1.3970067,0.4758
73,1.76297428,0.58246,1.39084087,0.4763
74,1.76226129,0.58272,1.39443143,0.4763
75,1.7621804,0.58304,1.3896226,0.4733
76,1.75789227,0.58022,1.38745239,0.4722
77,1.75474056,0.5824,1.38821229,0.474
78,1.75387675,0.5804,1.38229321,0.4709
79,1.75304876,0.57908,1.38158809,0.4727
80,1.74985406,0.57718,1.37287466,0.4731
81,1.7451372,0.5745,1.37473965,0.4693
82,1.74481578,0.57304,1.36861087,0.4697
83,1.74679597,0.57644,1.37404336,0.4658
84,1.74147737,0.57396,1.35448933,0.4672
85,1.73938632,0.57086,1.35396341,0.4652
86,1.73896332,0.57234,1.36190606,0.466
87,1.7394364,0.57318,1.3604147,0.4609
88,1.73663098,0.57116,1.35174557,0.4583
89,1.73572311,0.56986,1.3481771,0.4573
90,1.7346101,0.56926,1.34517621,0.4559
91,1.7310736,0.56878,1.34096239,0.4568
92,1.72826063,0.56406,1.34387287,0.4589
93,1.72721726,0.56636,1.34221176,0.4562
94,1.72626897,0.5644,1.33615592,0.455
95,1.72410098,0.56452,1.33515083,0.4499
96,1.72178964,0.56306,1.33262979,0.4548
97,1.72002215,0.5645,1.33297876,0.458
98,1.72172467,0.5637,1.3321973,0.4517
99,1.71839483,0.56056,1.32674366,0.452
100,1.71898072,0.56024,1.32513501,0.4496
101,1.71403656,0.56064,1.31783381,0.449
102,1.71409476,0.56102,1.32599942,0.4491
103,1.71426452,0.55926,1.3236674,0.4446
104,1.71285631,0.55912,1.32071501,0.4477
105,1.71047775,0.55676,1.3178812,0.4415
106,1.70665207,0.55636,1.31460818,0.4468
107,1.70460679,0.5537,1.30884661,0.443
108,1.70984513,0.55698,1.30878807,0.4406
109,1.70263589,0.55254,1.3099034,0.4412
110,1.70461374,0.55558,1.30782908,0.4454
111,1.70473669,0.5557,1.31088588,0.4439
112,1.69944959,0.55324,1.31066265,0.4406
113,1.69784862,0.5504,1.29908084,0.4375
114,1.69918545,0.55212,1.29380131,0.4407
115,1.69608783,0.55062,1.29913347,0.4398
116,1.69398747,0.5497,1.29584952,0.4394
117,1.69305628,0.54974,1.30121513,0.4397
118,1.69409581,0.54788,1.29369789,0.4385
119,1.69153068,0.5471,1.29341765,0.437
120,1.69300119,0.54842,1.29592307,0.4366
121,1.69062033,0.54556,1.29419996,0.4355
122,1.68803269,0.5453,1.29110588,0.434
123,1.68593987,0.54562,1.29422328,0.4353
124,1.68642818,0.5447,1.28143079,0.4372
125,1.68473592,0.54336,1.27950635,0.4358
126,1.68613178,0.54376,1.29294136,0.4342
127,1.68278713,0.54288,1.27872878,0.4311
128,1.68135432,0.53942,1.27937885,0.4361
129,1.68295746,0.54162,1.28203427,0.4292
130,1.68090364,0.54254,1.28053528,0.4308
131,1.67922473,0.53966,1.28124548,0.4301
132,1.67790573,0.54116,1.26573523,0.4278
133,1.67709022,0.53938,1.27352583,0.4264
134,1.67980944,0.54146,1.27457414,0.4283
135,1.6754871,0.5376,1.2673803,0.4287
136,1.67358187,0.5382,1.2693741,0.4254
137,1.67645582,0.53952,1.27095244,0.4269
138,1.67261234,0.53976,1.27153219,0.4265
139,1.67226306,0.53624,1.2641787,0.4244
140,1.67141161,0.5343,1.2699307,0.4278
141,1.6705722,0.53718,1.26397389,0.4241
142,1.66752096,0.53524,1.26017798,0.4234
143,1.66647537,0.53328,1.27094094,0.4224
144,1.66506838,0.53408,1.26021038,0.42
145,1.66767213,0.53632,1.26317039,0.4237
146,1.66774032,0.53492,1.2664125,0.4259
147,1.66455801,0.53346,1.24816745,0.4209
148,1.66283447,0.53314,1.2569446,0.4162
149,1.66195714,0.53132,1.26255553,0.4201
150,1.66226842,0.53078,1.2552342,0.4166
151,1.66302313,0.53214,1.25859435,0.4182
152,1.65997148,0.53256,1.25469226,0.4192
153,1.65898969,0.52886,1.25052515,0.4165
154,1.66141738,0.52976,1.24921432,0.418
