Epoch,Train Loss,Train Error,Test Loss,Test Error
1,2.09335594,0.76442,1.78302453,0.6369
2,1.95240144,0.6901,1.62600978,0.5834
3,1.88630658,0.6548,1.55168613,0.5596
4,1.83615008,0.62452,1.47917316,0.5222
5,1.80247753,0.60884,1.45038,0.5069
6,1.77217074,0.59182,1.38509969,0.4829
7,1.74673435,0.57874,1.35523311,0.4647
8,1.71868816,0.5641,1.31887294,0.4504
9,1.7007088,0.55324,1.29878991,0.4491
10,1.67927781,0.54448,1.26940145,0.4331
11,1.6608886,0.53738,1.24180582,0.4196
12,1.64628685,0.52914,1.24429672,0.4175
13,1.631062,0.51996,1.1996432,0.3998
14,1.62017608,0.5157,1.20761537,0.409
15,1.60207125,0.5054,1.20809575,0.4002
16,1.59377063,0.50236,1.17219856,0.3872
17,1.58317756,0.4961,1.17236492,0.3834
18,1.57450935,0.49138,1.15958153,0.3802
19,1.56432656,0.4888,1.12013836,0.3634
20,1.55356148,0.48368,1.13539644,0.3686
21,1.54878424,0.4811,1.10651138,0.3632
22,1.53835035,0.47646,1.09752808,0.3531
23,1.52889229,0.4703,1.07599049,0.347
24,1.52522428,0.4693,1.08573836,0.3452
25,1.5152469,0.46436,1.0592153,0.34
26,1.50637033,0.46038,1.05350225,0.3363
27,1.50338505,0.45952,1.06688633,0.3431
28,1.4931371,0.45242,1.04463553,0.3278
29,1.48619805,0.4535,1.03400228,0.326
30,1.48032048,0.4481,1.02306173,0.3273
31,1.47638071,0.4461,1.02283525,0.3246
32,1.46809563,0.44304,1.02639056,0.3214
33,1.46160674,0.4419,0.999154302,0.3184
34,1.4558101,0.43892,1.00865834,0.3144
35,1.45027511,0.43638,0.993361948,0.3117
36,1.44907954,0.43228,1.00694629,0.3178
37,1.44310944,0.43372,0.98807868,0.3127
38,1.43607601,0.43032,0.989269859,0.3041
39,1.43353836,0.42738,0.9834075,0.3096
40,1.42897336,0.42732,0.977757262,0.2997
41,1.42119361,0.4225,0.984544508,0.3085
42,1.41949334,0.4205,0.961458772,0.2972
43,1.41552167,0.41894,0.95586011,0.2957
44,1.41012781,0.4194,0.948265124,0.2973
45,1.40469715,0.41536,0.945809425,0.2908
46,1.4008447,0.41222,0.941993132,0.2917
47,1.39861365,0.4135,0.945346894,0.293
48,1.39415592,0.41084,0.91752122,0.2855
49,1.39265858,0.41192,0.930327615,0.2875
50,1.38317314,0.40486,0.925176724,0.2878
51,1.38088837,0.40464,0.91715984,0.2802
52,1.37684548,0.40432,0.919479173,0.2812
53,1.37520018,0.40226,0.918308321,0.2844
54,1.36703447,0.39956,0.90807618,0.2773
55,1.37083533,0.40296,0.904028266,0.2784
56,1.36207814,0.39726,0.918141784,0.279
57,1.35922317,0.39544,0.922779793,0.278
58,1.35812921,0.39586,0.904918616,0.2748
59,1.35428377,0.39524,0.906526685,0.2725
60,1.35556413,0.39524,0.88682287,0.2703
61,1.34458531,0.3912,0.900249704,0.2765
62,1.3412145,0.38958,0.88664994,0.2714
