Epoch,Train Loss,Train Error,Test Loss,Test Error
1,1.91461507,0.66398,1.40301896,0.4934
2,1.7065413,0.55546,1.2769472,0.4297
3,1.6135301,0.5071,1.14167117,0.3756
4,1.54607523,0.47538,1.09098062,0.363
5,1.49731832,0.45276,1.02701103,0.3338
6,1.45691366,0.43264,0.987136579,0.3122
7,1.41523166,0.41482,0.929357887,0.2893
8,1.38731391,0.40172,0.944707413,0.3028
9,1.3604437,0.3901,0.848835931,0.2566
10,1.32609574,0.37664,0.827734039,0.2292
11,1.31221447,0.36794,0.882264217,0.2479
12,1.28855783,0.36082,0.783873227,0.2241
13,1.27090124,0.35108,0.771567439,0.2309
14,1.25553581,0.34286,0.730874794,0.2049
15,1.23703493,0.33752,0.70214447,0.2096
16,1.22559676,0.33236,0.743697038,0.1896
17,1.21028257,0.32758,0.757903976,0.2079
18,1.19567281,0.32284,0.694479184,0.1906
19,1.18349541,0.31872,0.736447017,0.1935
20,1.16903619,0.31402,0.696592585,0.1793
21,1.15935732,0.30946,0.676761271,0.1802
22,1.14523128,0.30652,0.660767245,0.1809
23,1.1350708,0.30238,0.710376078,0.1862
24,1.12307805,0.29826,0.699727169,0.191
25,1.11389751,0.29528,0.666949305,0.1803
26,1.09754328,0.28944,0.683299323,0.1885
27,1.08972653,0.28952,0.681880367,0.1894
28,1.0789206,0.28316,0.67413308,0.1793
29,1.06626475,0.28114,0.690477608,0.1827
30,1.05407924,0.27824,0.634402056,0.1735
31,1.04218943,0.275,0.645550657,0.1761
32,1.03535335,0.2736,0.630794342,0.1673
33,1.02371207,0.27188,0.728088315,0.1985
34,1.01014318,0.26592,0.754421197,0.2034
35,1.00263236,0.26652,0.688721167,0.1788
36,0.990038129,0.26254,0.665226332,0.1842
37,0.977548178,0.26156,0.71490601,0.1906
38,0.965130347,0.25748,0.705669498,0.1833
39,0.951580067,0.25518,0.68241313,0.1839
40,0.944594875,0.25464,0.653844328,0.1774
41,0.932383898,0.24944,0.741448958,0.2028
42,0.92091628,0.24838,0.663693384,0.1741
43,0.909316134,0.24656,0.71902715,0.1967
44,0.89643825,0.24372,0.754834805,0.2034
45,0.883079285,0.24072,0.686952007,0.1849
46,0.872376872,0.23932,0.763675286,0.2013
47,0.86118189,0.23746,0.734527847,0.1933
48,0.850656656,0.23452,0.769380296,0.2034
49,0.83482035,0.22948,0.696500868,0.1867
50,0.82483786,0.22998,0.776455341,0.2063
51,0.813059613,0.22782,0.757972399,0.1991
52,0.797651887,0.22446,0.735238083,0.1957
53,0.787659619,0.22276,0.791560416,0.2154
54,0.775702191,0.22142,0.832307317,0.2269
55,0.760529092,0.21864,0.784932578,0.2128
56,0.744718151,0.21408,0.806260344,0.2149
57,0.737642149,0.21364,0.83061575,0.2168
58,0.731393569,0.2133,0.848396497,0.2303
59,0.719361798,0.21018,0.768497936,0.2097
60,0.705014299,0.2056,0.854057579,0.2277
61,0.695053572,0.20616,0.868674588,0.2317
62,0.67893284,0.20212,0.86219464,0.23
63,0.669281687,0.19956,0.859815258,0.2315
64,0.656079269,0.19546,0.896068813,0.2416
65,0.647774258,0.19384,0.84239092,0.2185
66,0.63620221,0.19068,0.898686808,0.2377
67,0.622183281,0.1879,0.933689211,0.2434
68,0.611585469,0.18628,0.906505212,0.2438
69,0.600001827,0.18356,0.931239548,0.2432
70,0.588790592,0.17976,0.947920257,0.2511
71,0.582116966,0.17858,0.950766357,0.2495
72,0.569695833,0.17506,0.866273956,0.2208
73,0.559298259,0.17218,0.917199988,0.2391
74,0.548803415,0.1701,0.992501233,0.2602
75,0.539754006,0.16932,0.985149338,0.2584
76,0.528137833,0.1651,0.949038616,0.2396
77,0.517159065,0.16348,0.966018202,0.2442
78,0.509849636,0.16214,0.956914674,0.2387
79,0.497660243,0.158,1.0009223,0.251
80,0.499787422,0.15974,0.976523134,0.2434
81,0.487738198,0.15406,0.944562797,0.2342
82,0.476578131,0.15214,1.02563705,0.2698
83,0.470915629,0.15138,1.01852371,0.2556
84,0.462892195,0.1485,1.07160317,0.277
85,0.452141174,0.1463,1.00248657,0.2378
86,0.444705511,0.14402,1.02856728,0.2595
87,0.433345194,0.14172,1.1235002,0.2717
88,0.430140012,0.14114,1.05637518,0.2548
89,0.421855472,0.13578,1.09102266,0.2582
90,0.403436264,0.13076,1.16690738,0.2649
91,0.409144174,0.13344,1.14359643,0.2791
92,0.396577846,0.1298,1.1672716,0.282
93,0.384613921,0.12596,1.18903436,0.2749
94,0.387356475,0.12926,1.1648407,0.2753
95,0.380344228,0.12542,1.1671524,0.2736
96,0.374210924,0.12306,1.15834623,0.2643
97,0.364702378,0.12164,1.15111225,0.2518
98,0.368395755,0.12196,1.17946041,0.275
99,0.350992928,0.11656,1.14190002,0.2607
100,0.347371196,0.1137,1.23562947,0.2718
101,0.344397935,0.1147,1.28538196,0.2992
102,0.338706458,0.112,1.20767847,0.2805
103,0.32605184,0.10866,1.21798351,0.2757
