Epoch,Train Loss,Train Error,Test Loss,Test Error
1,2.20424309,0.81816,1.92950835,0.7021
2,2.03685958,0.7348,1.7910897,0.6504
3,1.97248372,0.70138,1.70082738,0.6109
4,1.9389929,0.6827,1.651341,0.5886
5,1.91423541,0.66916,1.60110142,0.5744
6,1.89357628,0.66048,1.57767452,0.5614
7,1.87725559,0.65384,1.54485781,0.5463
8,1.86525674,0.64298,1.53808662,0.5448
9,1.85216501,0.63436,1.51405499,0.5305
10,1.83615807,0.62816,1.50608263,0.5304
11,1.82610374,0.62332,1.47900729,0.5193
12,1.81412453,0.61616,1.47785687,0.516
13,1.80276695,0.60938,1.46157077,0.5097
14,1.79078837,0.60394,1.44600231,0.5022
15,1.78613521,0.60274,1.43219711,0.498
16,1.77554966,0.59552,1.42269979,0.4951
17,1.76937467,0.59148,1.40238118,0.4865
18,1.7596322,0.58838,1.38277336,0.4787
19,1.75471937,0.584,1.38259335,0.4759
20,1.74601254,0.57668,1.37011051,0.4683
21,1.73883434,0.57374,1.36385967,0.4698
22,1.73431214,0.57428,1.34972635,0.4647
23,1.72521958,0.56712,1.348825,0.4639
24,1.72071679,0.56488,1.33276318,0.459
25,1.7148018,0.5607,1.32241737,0.4558
26,1.70657022,0.55894,1.32373784,0.4538
27,1.7011835,0.5587,1.30549433,0.4429
28,1.69877502,0.55308,1.30088001,0.4431
29,1.69296653,0.55268,1.28649128,0.4397
30,1.68350088,0.54856,1.28889147,0.4372
31,1.68073797,0.5453,1.2773371,0.4373
32,1.67838508,0.54448,1.26765743,0.4282
33,1.67234453,0.5403,1.26734735,0.4288
34,1.66834847,0.53876,1.26637938,0.4279
35,1.66707318,0.53744,1.25567978,0.4226
36,1.66456192,0.5355,1.25454901,0.417
37,1.66049011,0.53174,1.24602088,0.419
38,1.65273573,0.53002,1.24440127,0.4162
39,1.65120222,0.52976,1.23552627,0.4126
40,1.64542768,0.52704,1.23500869,0.4116
41,1.64139987,0.52338,1.22878879,0.4104
42,1.6388698,0.52454,1.23010396,0.4077
43,1.63845411,0.5237,1.21524122,0.4073
44,1.63152564,0.5202,1.20216152,0.4063
45,1.62821362,0.52058,1.22528319,0.4068
46,1.62691416,0.518,1.19795471,0.3983
47,1.62301246,0.51718,1.20745279,0.3986
48,1.61777991,0.51562,1.19733084,0.3948
49,1.61815565,0.51616,1.18821938,0.3982
50,1.61158363,0.51194,1.17318219,0.3899
51,1.60575459,0.50998,1.19470225,0.3932
52,1.6060071,0.50746,1.18321196,0.3909
53,1.6066584,0.50658,1.16983746,0.3878
54,1.60334485,0.50542,1.16827929,0.385
55,1.59982584,0.50432,1.16294797,0.3853
56,1.5995504,0.50292,1.16962111,0.3802
57,1.59528411,0.50122,1.15055849,0.3808
58,1.59196837,0.5002,1.16081693,0.3788
59,1.5883669,0.4993,1.15055518,0.3774
60,1.58585474,0.49704,1.1527765,0.3754
61,1.58234682,0.49534,1.15201767,0.375
62,1.58327786,0.49732,1.16486442,0.3825
63,1.58104987,0.4956,1.14344479,0.3715
64,1.57905374,0.49396,1.13708204,0.3701
65,1.5715616,0.49058,1.1319274,0.3688
66,1.57401807,0.49072,1.1260013,0.3702
67,1.56707717,0.48894,1.12987031,0.3722
68,1.56734428,0.48808,1.1204582,0.3647
69,1.56578089,0.48782,1.12274191,0.3664
70,1.56318376,0.48648,1.12616686,0.3614
71,1.55986488,0.48588,1.1063998,0.3611
72,1.56250437,0.48576,1.11110235,0.3582
73,1.55811645,0.48566,1.10035095,0.3576
74,1.5563701,0.48224,1.10983341,0.3578
75,1.5526289,0.48176,1.10802068,0.3556
76,1.55018983,0.48186,1.11740042,0.3619
77,1.55136034,0.48214,1.10264734,0.3559
78,1.54790056,0.47958,1.10746448,0.357
79,1.54582133,0.47794,1.11504769,0.3552
80,1.54646001,0.47892,1.10726703,0.3588
81,1.54066694,0.47582,1.08682693,0.3545
82,1.53791828,0.4764,1.09087644,0.3525
83,1.54217483,0.47826,1.09932148,0.3559
84,1.53658675,0.47484,1.08599342,0.3538
85,1.53534455,0.47444,1.08478089,0.3488
86,1.53164208,0.4732,1.09816713,0.3497
87,1.53367652,0.47198,1.08181423,0.3499
88,1.53039597,0.4722,1.0856471,0.3491
89,1.52791899,0.46922,1.07090935,0.3442
90,1.52676174,0.47014,1.07115641,0.3449
91,1.52666081,0.46852,1.08307186,0.349
92,1.52161917,0.46886,1.07798216,0.3443
93,1.52466852,0.46894,1.0684145,0.3434
94,1.52231964,0.46822,1.08087399,0.3465
95,1.52122352,0.46674,1.06883462,0.3433
96,1.5174194,0.46488,1.07135737,0.3463
97,1.52057357,0.46572,1.07510699,0.3468
98,1.5169553,0.46424,1.06136643,0.3431
99,1.51305077,0.46382,1.05102007,0.3382
100,1.51449774,0.46386,1.05973528,0.3397
101,1.50835247,0.4629,1.06159395,0.3361
102,1.51088337,0.46282,1.05561118,0.3361
103,1.51012541,0.46298,1.05224782,0.3376
104,1.51048802,0.4622,1.0611488,0.3345
105,1.50636506,0.46186,1.05898876,0.336
106,1.5019879,0.45892,1.0497263,0.3401
107,1.50430976,0.45986,1.0438898,0.3357
108,1.50265096,0.45996,1.05126855,0.3336
109,1.50000962,0.45764,1.04982186,0.3361
110,1.50131523,0.45806,1.03747271,0.3329
111,1.49918512,0.45704,1.05198131,0.3366
112,1.49823787,0.45748,1.05447588,0.3348
113,1.49655127,0.45664,1.04882995,0.3337
114,1.49675847,0.45762,1.03873573,0.3315
115,1.49317105,0.4552,1.04952045,0.3357
116,1.49395507,0.45472,1.03865652,0.3287
117,1.49034439,0.45442,1.03987684,0.3304
118,1.49034877,0.45214,1.03051506,0.3345
119,1.48754613,0.452,1.03421367,0.3308
120,1.48991817,0.45276,1.03277829,0.3314
121,1.48802187,0.45228,1.04388081,0.3307
122,1.48764193,0.45284,1.03321743,0.3261
123,1.48307655,0.45162,1.02389295,0.3275
124,1.48357598,0.44992,1.02081235,0.3279
125,1.48337316,0.45092,1.02919587,0.3311
126,1.47793619,0.44726,1.0269752,0.3239
127,1.48228434,0.45046,1.01931944,0.3256
128,1.4775463,0.44882,1.02593841,0.3255
129,1.47788973,0.44678,1.02905967,0.3232
130,1.47579919,0.44688,1.02004315,0.3202
131,1.4769663,0.4473,1.01575599,0.3247
132,1.4750401,0.44756,1.01909846,0.3207
133,1.47818237,0.44486,1.00847542,0.3178
134,1.47416194,0.44646,1.0150631,0.3211
135,1.47357552,0.4451,1.02264883,0.3234
136,1.47154316,0.44436,1.00917373,0.3203
137,1.46753644,0.44578,1.02620939,0.3241
138,1.47171076,0.4461,1.01367308,0.3203
139,1.4663531,0.44114,1.00464737,0.32
140,1.46498691,0.4412,1.01012429,0.3199
141,1.46438941,0.4419,0.99812834,0.313
142,1.46570161,0.4427,1.00094567,0.3176
143,1.46705654,0.44432,1.01034054,0.3143
144,1.46532278,0.44316,1.00623784,0.3213
145,1.46065175,0.4393,0.998656761,0.3158
146,1.46014706,0.44052,0.987422888,0.3172
147,1.45800668,0.43964,0.995864481,0.3148
148,1.45920637,0.44178,1.01037823,0.3217
149,1.45819612,0.44022,0.992726454,0.315
150,1.45919002,0.43878,0.994297473,0.314
151,1.45404531,0.43758,1.00012751,0.3095
152,1.45494259,0.43744,0.996833739,0.314
153,1.45467951,0.43538,0.998439357,0.3169
154,1.45614324,0.43856,1.01538005,0.3174
155,1.45392135,0.43834,0.991321015,0.3134
156,1.4481247,0.43508,0.996784512,0.316
157,1.44788368,0.43164,0.996646122,0.3144
158,1.44748228,0.43624,0.991290561,0.3175
159,1.44816614,0.43276,0.996255753,0.3166
160,1.44860331,0.4357,0.98819451,0.308
161,1.44585335,0.43408,0.983063799,0.3065
162,1.4470807,0.4351,1.00967975,0.3181
163,1.44458185,0.43464,0.979904632,0.308
164,1.44494253,0.4336,0.979351342,0.312
165,1.44616984,0.43212,0.981073168,0.31
166,1.44337214,0.43298,0.972162488,0.3056
167,1.44195817,0.4286,0.986945758,0.3099
168,1.4404321,0.43064,0.973604206,0.3112
169,1.44079288,0.43146,0.971437644,0.3041
170,1.4396763,0.42826,0.989366956,0.3123
171,1.43745326,0.42912,0.96093137,0.3059
172,1.43792478,0.43136,0.980686796,0.308
173,1.43954632,0.4321,0.967464763,0.3047
174,1.43550771,0.43188,0.971586776,0.3044
175,1.43445143,0.43004,0.969956781,0.3012
176,1.43549123,0.42852,0.976438085,0.3093
177,1.43200165,0.42742,0.95819203,0.3005
178,1.43319079,0.42704,0.976289922,0.2986
179,1.4295026,0.42618,0.960557085,0.3018
180,1.43066014,0.42856,0.961464474,0.3028
181,1.43325987,0.42776,0.963779567,0.3049
182,1.42851269,0.4255,0.981543416,0.3089
183,1.425311,0.42434,0.968495473,0.3017
184,1.42978194,0.42558,0.962678629,0.3068
185,1.4266579,0.42402,0.967529042,0.3054
186,1.42681391,0.42494,0.971885689,0.3016
187,1.42650922,0.42516,0.961059732,0.2996
188,1.42384128,0.4236,0.955164699,0.2975
189,1.42595139,0.42418,0.958896276,0.2999
190,1.42315682,0.42464,0.971725459,0.2994
191,1.42174298,0.4223,0.974073554,0.3
192,1.42120787,0.42136,0.960101681,0.2985
193,1.41636964,0.4211,0.966326362,0.295
194,1.42057807,0.42294,0.960678631,0.2934
195,1.41910003,0.4226,0.952244831,0.3016
196,1.416986,0.41932,0.947064441,0.2941
197,1.41851152,0.42084,0.965272104,0.2967
198,1.41704347,0.42414,0.963081124,0.3001
199,1.41421989,0.42072,0.972357388,0.2967
200,1.41557156,0.4192,0.943282836,0.2946
201,1.41327564,0.41982,0.941190913,0.2906
202,1.41149309,0.42078,0.94447024,0.2969
203,1.41607928,0.4215,0.946031629,0.2928
204,1.41673407,0.42226,0.949369208,0.2937
205,1.41371846,0.41864,0.950104551,0.2944
206,1.41073283,0.4179,0.934581096,0.2945
207,1.40904961,0.41824,0.960593002,0.2973
208,1.41105528,0.41968,0.938447833,0.2897
209,1.41081322,0.41884,0.934270704,0.2897
210,1.40955209,0.4154,0.949925858,0.2915
211,1.40536215,0.41516,0.941930961,0.2871
212,1.40535665,0.41728,0.938082799,0.2884
