Epoch,Train Loss,Train Error,Test Loss,Test Error
1,1.87779956,0.6403,1.30431125,0.4618
2,1.64440803,0.51782,1.16886337,0.3889
3,1.53646007,0.46654,1.06872322,0.3479
4,1.44452346,0.42268,1.08401528,0.3423
5,1.38615735,0.3962,0.853888634,0.257
6,1.34456795,0.3777,0.815590544,0.236
7,1.30303137,0.36,0.796051512,0.221
8,1.27339063,0.3482,0.716785469,0.201
9,1.24652587,0.33494,0.808107511,0.2343
10,1.22213659,0.3264,0.760887132,0.206
11,1.20221589,0.31846,0.686773922,0.1796
12,1.18278903,0.31212,0.74315083,0.2125
13,1.16451827,0.30488,0.721695959,0.1901
14,1.15054196,0.29882,0.732507256,0.2046
15,1.13362091,0.29486,0.653450665,0.1706
16,1.11732737,0.2881,0.639170005,0.1677
17,1.10025165,0.28282,0.617185751,0.1668
18,1.087079,0.27864,0.630812533,0.1647
19,1.06977641,0.27324,0.587530611,0.1562
20,1.06014119,0.27126,0.602767844,0.1588
21,1.04274728,0.26364,0.640421593,0.1646
22,1.02882918,0.26268,0.619478737,0.1618
23,1.01428913,0.25786,0.623664554,0.1665
24,1.00147886,0.25568,0.618713485,0.155
25,0.982830654,0.24964,0.585885758,0.1509
26,0.96977201,0.24704,0.621636752,0.1582
27,0.95495208,0.2436,0.652650985,0.1663
28,0.937474328,0.23922,0.635702371,0.1615
29,0.922640429,0.23666,0.607025548,0.16
30,0.90463312,0.23216,0.65488612,0.1736
31,0.887052636,0.22948,0.664034731,0.1707
32,0.870647213,0.22714,0.648715478,0.1706
33,0.853069225,0.2225,0.674906199,0.1733
34,0.838527698,0.22072,0.644673477,0.169
35,0.817122085,0.21592,0.63569904,0.1641
36,0.797571841,0.2121,0.672338585,0.1696
37,0.77974414,0.2083,0.638422112,0.1662
38,0.768779977,0.20886,0.64458641,0.1695
39,0.740178692,0.20138,0.741612434,0.1899
40,0.73027588,0.20052,0.655058121,0.17
41,0.70618957,0.19508,0.699392936,0.1796
42,0.686388149,0.19054,0.738630371,0.1907
43,0.66733811,0.18762,0.737519607,0.1824
44,0.647593148,0.18326,0.814960989,0.2081
45,0.630773099,0.1803,0.783046537,0.1958
46,0.613475348,0.17726,0.846901618,0.212
47,0.594568514,0.1726,0.819491443,0.2044
48,0.577571205,0.16988,0.866243028,0.2143
49,0.557262993,0.16528,0.884798219,0.2106
50,0.541948287,0.16106,0.920949543,0.2339
51,0.520452153,0.15762,0.961604095,0.2331
52,0.510423888,0.1544,0.920346724,0.2179
53,0.491536801,0.14904,0.96362433,0.2401
54,0.476275331,0.14712,0.946658773,0.2277
55,0.453305786,0.13868,0.965504132,0.2228
56,0.438802408,0.13518,1.09488784,0.2594
57,0.437811431,0.1364,0.976761456,0.2311
58,0.412913219,0.12954,1.03446827,0.255
59,0.397823749,0.12588,1.05472698,0.2591
60,0.390180595,0.12588,1.06350375,0.2601
61,0.373143856,0.11902,1.13214198,0.2524
62,0.364382389,0.11642,1.05039447,0.24
63,0.347166152,0.11102,1.07764788,0.2431
64,0.334773386,0.10916,1.10161785,0.24
65,0.334618725,0.1086,1.08179383,0.2382
66,0.313444064,0.10404,1.08361812,0.2138
67,0.30626761,0.09948,1.18626009,0.2641
68,0.296708581,0.09718,1.15478171,0.2559
69,0.287454488,0.09514,1.34875152,0.2934
70,0.276779564,0.09072,1.20719509,0.2617
71,0.280835011,0.09308,1.19027742,0.2622
72,0.261074551,0.08674,1.22519322,0.2496
73,0.25720547,0.08546,1.24649132,0.2637
74,0.245436968,0.08162,1.17131982,0.223
75,0.24369217,0.08108,1.21679136,0.2424
76,0.23460586,0.07764,1.22851366,0.2635
77,0.23050346,0.07626,1.12375231,0.225
78,0.225209648,0.07534,1.32821143,0.2503
79,0.219832058,0.07478,1.22218102,0.244
80,0.21321036,0.07062,1.17059768,0.2284
81,0.207310518,0.06932,1.34555737,0.2483
82,0.2075901,0.06868,1.34725486,0.2665
83,0.202100226,0.06796,1.36132691,0.2805
84,0.191072687,0.06294,1.33420441,0.2552
85,0.191130139,0.06426,1.33450474,0.2651
86,0.192407374,0.0644,1.22053233,0.2473
87,0.181120849,0.06078,1.20709055,0.2231
88,0.169442536,0.05568,1.34228877,0.2525
89,0.177363413,0.06046,1.2874153,0.2244
90,0.173110533,0.05928,1.36584211,0.2533
91,0.167731005,0.05628,1.32480885,0.2548
92,0.161447264,0.05428,1.33336082,0.2523
93,0.15690438,0.053,1.41929472,0.2494
94,0.158352534,0.05334,1.26393392,0.2218
95,0.155222757,0.05244,1.3932032,0.2424
96,0.153123786,0.05104,1.40676508,0.2675
97,0.157460696,0.0528,1.47115807,0.2652
98,0.152033379,0.05056,1.40539937,0.2743
99,0.140279293,0.04698,1.3621728,0.2418
100,0.143375815,0.0486,1.27757717,0.2228
101,0.142070951,0.04694,1.2677861,0.239
102,0.133232719,0.04466,1.39990592,0.2726
103,0.134810361,0.04498,1.36951752,0.2575
104,0.132822509,0.04474,1.37989104,0.2371
105,0.132460913,0.04436,1.44878244,0.2424
106,0.134041102,0.04414,1.430844,0.2672
107,0.133612855,0.04568,1.29789288,0.2217
108,0.132394117,0.0442,1.46111079,0.2511
109,0.123006371,0.04168,1.41806056,0.251
110,0.121869503,0.0411,1.40897476,0.2407
111,0.120779834,0.0403,1.35405729,0.2177
112,0.125015653,0.0421,1.42465406,0.2457
113,0.114145908,0.0387,1.40389344,0.2449
114,0.119753001,0.04116,1.39039293,0.229
115,0.118386142,0.03978,1.41843071,0.2411
116,0.106131319,0.03656,1.39901204,0.2421
117,0.113888216,0.03916,1.39174477,0.2325
118,0.11988334,0.03922,1.46712059,0.2548
119,0.107006208,0.03538,1.47042447,0.2615
120,0.107073437,0.03546,1.35580695,0.2255
121,0.105226884,0.03614,1.51346315,0.2465
122,0.108192579,0.03616,1.45784591,0.2341
123,0.110308647,0.03732,1.35755375,0.228
124,0.0999168772,0.03362,1.42076285,0.246
125,0.103338501,0.03424,1.39004362,0.2399
126,0.102626632,0.03466,1.50127944,0.2525
127,0.107241827,0.03652,1.42028931,0.2331
128,0.0983638462,0.03332,1.44174948,0.2358
129,0.0923071762,0.0307,1.45731315,0.2442
130,0.101577655,0.03412,1.53107628,0.2689
131,0.0923350289,0.03042,1.52792807,0.2417
132,0.0941791554,0.03172,1.39982266,0.225
133,0.0997397403,0.03338,1.49482246,0.2468
134,0.0923007849,0.03046,1.4280687,0.2437
135,0.0904580874,0.03012,1.40380753,0.2245
136,0.0932458782,0.0307,1.46112921,0.231
137,0.090053621,0.03106,1.48341365,0.2341
138,0.0929215903,0.0312,1.44347175,0.2223
139,0.0877662589,0.02942,1.45828255,0.2294
