Epoch,Train Loss,Train Error,Test Loss,Test Error
1,2.30406203,0.8821,2.27047289,0.8597
2,2.25478294,0.85002,2.19022359,0.8241
3,2.21533422,0.83494,2.14015892,0.8072
4,2.18938355,0.823,2.09439552,0.7903
5,2.16721904,0.81168,2.06919324,0.7838
6,2.15065179,0.8073,2.04104798,0.7733
7,2.13653209,0.79992,2.00713,0.7614
8,2.12274798,0.79516,1.9887321,0.7515
9,2.11050591,0.78618,1.96896315,0.7506
10,2.10241686,0.78292,1.95606542,0.7378
11,2.09832994,0.77958,1.94151457,0.7334
12,2.08982753,0.77346,1.93286104,0.7317
13,2.08450652,0.77036,1.92387214,0.7225
14,2.07744481,0.76282,1.91931451,0.7173
15,2.07577899,0.75924,1.90670109,0.7064
16,2.06902574,0.75506,1.89354253,0.7027
17,2.0649023,0.7527,1.88468015,0.6991
18,2.06180348,0.75316,1.88032397,0.6988
19,2.05753733,0.74734,1.87768692,0.6954
20,2.05209739,0.74264,1.87402985,0.6952
21,2.05156482,0.74126,1.86294106,0.6892
22,2.04863494,0.74056,1.863579,0.6887
23,2.04215894,0.73818,1.85358021,0.6846
24,2.04120095,0.73798,1.8529817,0.683
25,2.03681141,0.73688,1.84480229,0.6807
26,2.03653779,0.73304,1.84295925,0.6811
27,2.03508847,0.73514,1.84524282,0.6816
28,2.0277679,0.73066,1.83385647,0.6774
29,2.02921269,0.72996,1.82579975,0.6739
30,2.02518935,0.72652,1.8268073,0.6765
31,2.02496671,0.72788,1.82367206,0.6753
32,2.0218186,0.72544,1.82043638,0.6743
33,2.02240074,0.72694,1.81985333,0.674
34,2.0216184,0.72754,1.81403256,0.6699
35,2.0198979,0.72478,1.81297833,0.6711
36,2.02018908,0.7256,1.80965812,0.6691
37,2.01562475,0.7248,1.80100235,0.6669
38,2.01171123,0.72224,1.79977573,0.6671
39,2.01589862,0.7242,1.8025337,0.667
40,2.01444148,0.72044,1.80153926,0.6637
41,2.00953979,0.72096,1.79905907,0.6619
42,2.00900619,0.71888,1.79821234,0.6565
43,2.00566877,0.71756,1.79183294,0.6588
44,2.00546634,0.71746,1.7929342,0.6595
45,2.00472702,0.71544,1.78675398,0.6556
46,2.00559353,0.7178,1.78576574,0.6571
47,2.00324149,0.71784,1.78434866,0.6538
48,2.00213976,0.71574,1.78470011,0.6544
49,1.99918968,0.71422,1.78002421,0.6528
50,1.99905432,0.715,1.77804792,0.6512
51,1.99801589,0.711,1.77529482,0.6484
52,1.99506338,0.71336,1.77138273,0.6479
53,1.99403152,0.70976,1.7694354,0.6452
54,1.99432296,0.71052,1.77006202,0.6477
55,1.99141207,0.71068,1.76995795,0.645
56,1.99308491,0.71126,1.76741671,0.6455
57,1.9900643,0.70592,1.76174273,0.6397
58,1.98709151,0.70374,1.76384785,0.6427
59,1.98584192,0.70622,1.75578107,0.6365
60,1.98631332,0.70576,1.75690166,0.6361
61,1.98273574,0.7026,1.7566902,0.6391
62,1.98070724,0.7027,1.75300325,0.6357
63,1.98061015,0.7021,1.75110556,0.6337
64,1.97688564,0.701,1.74900335,0.6331
65,1.98041281,0.70344,1.74557107,0.63
66,1.97595935,0.69918,1.7527611,0.6319
67,1.97517371,0.6994,1.74712017,0.6304
68,1.9747878,0.70084,1.74166497,0.6291
69,1.97496777,0.70078,1.74879759,0.6318
70,1.97450689,0.69884,1.73718139,0.6251
71,1.97006267,0.69504,1.73565456,0.6262
72,1.96871407,0.69338,1.73051854,0.6235
73,1.969348,0.69454,1.73682936,0.6209
74,1.96666759,0.69416,1.73240691,0.621
75,1.96931008,0.6951,1.72442281,0.6176
76,1.96376708,0.69166,1.72495469,0.6155
77,1.96562165,0.69336,1.72663448,0.6167
78,1.96566575,0.69352,1.72375428,0.6178
79,1.96554512,0.69526,1.71874652,0.6132
80,1.96070467,0.68894,1.71983694,0.6114
81,1.95966397,0.6897,1.72446119,0.6215
82,1.95954068,0.6902,1.71633748,0.6119
83,1.96105507,0.69138,1.71311831,0.6116
84,1.95896999,0.6873,1.7140369,0.6138
85,1.95821754,0.68956,1.71241655,0.6126
86,1.95568714,0.6881,1.71437409,0.6146
87,1.95646563,0.68626,1.71043187,0.6111
88,1.95489789,0.68456,1.70944183,0.6107
89,1.95525662,0.686,1.70806658,0.6114
90,1.95297769,0.68374,1.70536719,0.6091
91,1.95191959,0.68394,1.70339748,0.6119
92,1.95194999,0.68182,1.69951493,0.6069
